begin_timestamp;end_timestamp;name;duration;session
MODULE;cuda_kernels


1527874900630798000;1527874900632087000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1289000;242
1527874900930548000;1527874900931837000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1289000;1201
1527874900755900000;1527874900757188000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1288000;649
1527874900899065000;1527874900900353000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1288000;1109
1527874900572016000;1527874900573303000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1287000;59
1527874900699043000;1527874900700330000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1287000;466
1527874900570727000;1527874900572013000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1286000;58
1527874900727359000;1527874900728645000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1286000;557
1527874900943228000;1527874900944514000;gradients/Relu_grad/ReluGrad:ReluGrad;1286000;1224
1527874900797330000;1527874900798615000;gradients/Relu_grad/ReluGrad:ReluGrad;1285000;764
1527874900601714000;1527874900602998000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1284000;150
1527874900768583000;1527874900769867000;gradients/Relu_grad/ReluGrad:ReluGrad;1284000;672
1527874900784643000;1527874900785927000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1284000;741
1527874900813114000;1527874900814398000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1284000;833
1527874900854518000;1527874900855802000;gradients/Relu_grad/ReluGrad:ReluGrad;1284000;948
1527874900913140000;1527874900914424000;gradients/Relu_grad/ReluGrad:ReluGrad;1284000;1132
1527874900632089000;1527874900633372000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;243
1527874900660303000;1527874900661586000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;335
1527874900697757000;1527874900699040000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;465
1527874900814401000;1527874900815684000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;834
1527874900843130000;1527874900844413000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;926
1527874900871859000;1527874900873142000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;1018
1527874900959338000;1527874900960621000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1283000;1293
1527874900643466000;1527874900644748000;gradients/Relu_grad/ReluGrad:ReluGrad;1282000;265
1527874900728648000;1527874900729930000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1282000;558
1527874900757191000;1527874900758473000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1282000;650
1527874900960624000;1527874900961906000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1282000;1294
1527874900785931000;1527874900787212000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1281000;742
1527874900825808000;1527874900827089000;gradients/Relu_grad/ReluGrad:ReluGrad;1281000;856
1527874900615061000;1527874900616341000;gradients/Relu_grad/ReluGrad:ReluGrad;1280000;173
1527874900659020000;1527874900660300000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1280000;334
1527874900883254000;1527874900884534000;gradients/Relu_grad/ReluGrad:ReluGrad;1280000;1040
1527874900900356000;1527874900901636000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1280000;1110
1527874900671695000;1527874900672974000;gradients/Relu_grad/ReluGrad:ReluGrad;1279000;357
1527874900972129000;1527874900973408000;gradients/Relu_grad/ReluGrad:ReluGrad;1279000;1316
1527874900584139000;1527874900585417000;gradients/Relu_grad/ReluGrad:ReluGrad;1278000;81
1527874900603000000;1527874900604278000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1278000;151
1527874900740051000;1527874900741329000;gradients/Relu_grad/ReluGrad:ReluGrad;1278000;580
1527874900710438000;1527874900711715000;gradients/Relu_grad/ReluGrad:ReluGrad;1277000;488
1527874900931841000;1527874900933118000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1277000;1202
1527874900841850000;1527874900843126000;Adam/update_Variable_2/ApplyAdam:ApplyAdam;1276000;925
1527874900856350000;1527874900857414000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1064000;950
1527874900885098000;1527874900886162000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1064000;1042
1527874900741876000;1527874900742938000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1062000;582
1527874900916505000;1527874900917562000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1057000;1134
1527874900645288000;1527874900646344000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1056000;267
1527874900945052000;1527874900946108000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1056000;1226
1527874900770416000;1527874900771468000;gradients/Conv2D_grad/Conv2DBackpropFilter:Conv2DBackpropFilter;1052000;674
